title,description,source,published_at,url,content
Pakistan vs USA LIVE SCORE T20 World Cup 2026: Can USA repeat history again? Toss at 6:30 PM IST,"Pakistan will be feeling confident after their win, however the memories of the shock defeat to the USA in the 2024 T20 World Cup would still linger in their minds.",Business Standard,2026-02-10T12:28:56Z,https://www.business-standard.com/cricket/icc-t20-world-cup/icc-t20-world-cup-2026-pakistan-vs-usa-live-score-updates-pak-vs-usa-full-scorecard-highlights-126021001009_1.html,"Pakistan will be feeling confident after their win, however the memories of the shock defeat to the USA in the 2024 T20 World Cup would still linger in their minds.
Pakistan vs USA T20 World Cup liv… [+2841 chars]"
T20 WC 2026: Can USA beat Pakistan again in the T20 World Cup?,"Pakistan vs USA Live Score, T20 World Cup 2026: The Pakistan versus USA clash arrives with a sense of unpredictability that has defined the early sta",The Times of India,2026-02-10T12:21:23Z,https://timesofindia.indiatimes.com/sports/cricket/pakistan-vs-united-states-of-america-live-score-today-icc-t20-world-cup-2026-match-pak-vs-usa-live-scorecard-updates/liveblog/128158660.cms,"Pakistan vs USA Live Score, T20 World Cup 2026: The Pakistan versus USA clash arrives with a sense of unpredictability that has defined the early stages of the T20 World Cup. Both sides could easily … [+1751 chars]"
Why did Pakistan end its India boycott at T20 World Cup?,Al Jazeera explains how one player’s removal from a franchise led to the biggest cricket crisis in recent years.,Al Jazeera English,2026-02-10T12:12:18Z,https://www.aljazeera.com/sports/2026/2/10/why-did-pakistan-end-its-india-boycott-at-t20-world-cup,"After more than a week of deadlock, negotiations and meetings, Pakistan has agreed to end its boycott of the match against India at the T20 World Cup, bringing an end to one of the biggest crises in … [+2875 chars]"
Concessions given to PCB by ICC for ending boycott will be made public post T20WC: Sources,The International Cricket Council will reveal concessions for the Pakistan Cricket Board after the T20 World Cup. This comes after Pakistan ended its boycott of the match against India. The ICC has also confirmed Bangladesh Cricket Board will face no sanction…,The Times of India,2026-02-10T12:02:28Z,https://economictimes.indiatimes.com/news/sports/concessions-given-to-pcb-by-icc-for-ending-boycott-will-be-made-public-post-t20wc-sources/articleshow/128157817.cms,Karachi: The ICC has promised a few concessions to the Pakistan Cricket Board (PCB) for ending its boycott of the India game but those will only be announced after the conclusion of the T20 World Cup… [+2583 chars]
India vs Pakistan: Be ready to shell out at least ₹1 lakh for Colombo trip,"The match will begin at 7 pm on Sunday, February 15, after Pakistan earlier this week ended its boycott of the fixture, clearing uncertainty around the clash",Business Standard,2026-02-10T10:52:44Z,https://www.business-standard.com/cricket/icc-t20-world-cup/india-vs-pakistan-t20-world-cup-match-travel-expense-colombo-sri-lanka-126021001005_1.html,"The match will begin at 7 pm on Sunday, February 15, after Pakistan earlier this week ended its boycott of the fixture, clearing uncertainty around the clash
Return flight prices from Colombo on Feb… [+3372 chars]"
Islamist leader rises from obscurity to challenge for Bangladesh's top job,"Shafiqur Rahman, Jamaat-e-Islami's chief, has emerged as a significant contender for Bangladesh's prime minister after decades on the political fringe. Capitalizing on a post-uprising vacuum, Rahman has revitalized the once-banned party, presenting it as a mo…",The Times of India,2026-02-10T10:52:24Z,https://economictimes.indiatimes.com/news/international/world-news/islamist-leader-rises-from-obscurity-to-challenge-for-bangladeshs-top-job/articleshow/128155076.cms,"DHAKA: Shafiqur Rahman has long been on the margins of Bangladeshi politics, but his bearded face now appears on posters and billboards across Dhaka, urging voters to elect the country's first Islami… [+4599 chars]"
Thank ICC for this amicable solution to Pakistan impasse: Rajeev Shukla,"BCCI vice-president Rajeev Shukla on Tuesday praised the International Cricket Council (ICC) for ""finding a very good solution"" that prompted Pakistan to withdraw its boycott of the T20 World Cup match against India.
The high-profile India-Pakistan match on F…",Business Standard,2026-02-10T10:49:24Z,https://www.business-standard.com/cricket/icc-t20-world-cup/thank-icc-for-this-amicable-solution-to-pakistan-impasse-rajeev-shukla-126021000508_1.html,"BCCI vice-president Rajeev Shukla on Tuesday praised the International Cricket Council (ICC) for ""finding a very good solution"" that prompted Pakistan to withdraw its boycott of the T20 World Cup mat… [+2054 chars]"
Sri Lanka steps in and clears way for India-Pakistan T20 in Colombo,Pakistan’s decision follows President Anura Kumara Dissanayake’s nearly 30-minute-call telephone call with Prime Minister Shehbaz Sharif on Monday night,BusinessLine,2026-02-10T10:31:27Z,https://www.thehindubusinessline.com/news/sports/sri-lanka-steps-in-and-clears-way-for-india-pakistan-t20-in-colombo/article70614940.ece,Colombo A telephone call between Sri Lankan President Anura Kumara Dissanayake and Pakistani Prime Minister Shehbaz Sharif on Monday night appears to have been the gamechanger in convincing Pakistan … [+2427 chars]
What Mira Nair Taught Zohran Mamdani,"Mayor Zohran Mamdani’s famous filmmaker mother, Mira Nair, reveals the origins of his ferocious ambition.",Vulture,2026-02-10T10:00:00Z,http://www.vulture.com/article/what-mira-nair-taught-zohran-mamdani.html,"In December, the film director Mira Nair was in India preparing for her upcoming feature, Amri, about the life of the Indo-Hungarian painter Amrita Sher-Gil, whom she called our Frida Kahlo. She said… [+33250 chars]"
FULL LIST: Nigeria ranked 36th world’s most corrupt country in 2025,"Transparency International’s 2025 report reveals Nigeria’s corruption ranking. See where Nigeria stands among 182 nations and view the full list.

Read More: https://punchng.com/full-list-nigeria-ranked-36th-worlds-most-corrupt-country-in-2025/",The Punch,2026-02-10T09:21:24Z,https://punchng.com/full-list-nigeria-ranked-36th-worlds-most-corrupt-country-in-2025/,"Transparency International, a global coalition against corruption, has again ranked Nigeria as the 36th most corrupt country in the world.
The country retrogressed from 140th in 2024 to 142nd out of… [+5643 chars]"
De Leede helps Netherlands to win over Namibia,Bas de Leede stars with both bat and ball as the Netherlands open their account in the T20 World Cup with a convincing seven-wicket victory over Namibia.,BBC News,2026-02-10T09:09:35Z,https://www.bbc.com/sport/cricket/articles/cx28klldqn1o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bsport%5D-%5Bbizdev%5D-%5Bisapi%5D,"Men's T20 World Cup, Group A, Delhi
Namibia 156-8 (20 overs): Loftie-Eaton 42 (38); Van Beek 2-13
Netherlands 159-3 (18 overs): De Leede 72* (48); Scholtz 1-27
Netherlands won by seven wickets
Sc… [+1567 chars]"
De Leede helps Netherlands cruise to win over Namibia,Bas de Leede stars with both bat and ball as the Netherlands open their account in the T20 World Cup with a convincing seven-wicket victory over Namibia.,BBC News,2026-02-10T09:09:30Z,https://www.bbc.com/sport/cricket/articles/cx28klldqn1o,"Bas de Leede starred with both bat and ball as the Netherlands opened their account in the T20 World Cup with a convincing seven-wicket victory over Namibia.
The Netherlands suffered a narrow defeat… [+1353 chars]"
"Assam CM Himanta files ₹500 cr defamation case against Congress leaders Gaurav Gogoi, Jitendra Singh, Bhupesh Baghel",Assam Chief Minister Himanta Biswa Sarma has filed a defamation lawsuit seeking ₹500 crore against Congress leaders. The suit follows allegations made by Sarma regarding Congress leader Gaurav Gogoi's alleged links to Pakistan. Congress leaders have refuted t…,The Times of India,2026-02-10T09:06:48Z,https://economictimes.indiatimes.com/news/elections/assembly-elections/assam/assam-cm-himanta-files-500-cr-defamation-case-against-congress-leaders-gaurav-gogoi-jitendra-singh-bhupesh-baghel/articleshow/128150353.cms,"Assam Chief Minister Himanta Biswa Sarma on Monday filed a defamation lawsuit seeking 500 crore in damages against Congress leaders Gaurav Gogoi, Jitendra Singh, and Bhupesh Baghel, terming their all… [+4748 chars]"
"India’s T20 World Cup squad demands family to travel along with them during tour, BCCI denies: Sources",India's T20 World Cup squad seeks family accompaniment throughout the tournament. The BCCI has reportedly denied this request. This follows a policy limiting family stays to two weeks for longer tours. Head coach Gautam Gambhir previously supported this direc…,The Times of India,2026-02-10T09:06:38Z,https://economictimes.indiatimes.com/news/sports/indias-t20-world-cup-squad-demands-family-to-travel-along-with-them-during-tour-bcci-denies-sources/articleshow/128150731.cms,"New Delhi: The defending champions India are co-hosting the ongoing ICC Men's T20 World Cup 2026 with Sri Lanka and according to sources, the Suryakumar Yadav-led Indian T20 side has demanded that th… [+2113 chars]"
Capping A grades at Harvard to curb inflation: Why faculty support comes with unease,"Harvard faculty are cautiously backing a plan to limit A grades to 20% per course and introduce internal rankings, aiming to curb grade inflation. While supporters believe it addresses a systemic issue and protects grading autonomy, critics worry about narrow…",The Times of India,2026-02-10T09:05:36Z,https://timesofindia.indiatimes.com/education/news/capping-a-grades-at-harvard-to-curb-inflation-why-faculty-support-comes-with-unease/articleshow/128150323.cms,"Follow Us On Social Media
Days Before Bangladesh Elections, Another Hindu Businessman Killed, Fears Rise Over Minority SafetyOpposition targets LS Speaker with no-confidence motion rules, process &a… [+1221 chars]"
T20 World Cup 2026: PAK vs USA pitch report and Colombo Stadium key stats,"Pakistan and the USA will play their first match against each other at the Sinhalese Sports Club, with both teams having faced each other just once earlier in New York",Business Standard,2026-02-10T08:47:19Z,https://www.business-standard.com/cricket/icc-t20-world-cup/t20-world-cup-2026-pak-vs-usa-pitch-report-and-colombo-stadium-key-stats-126020901253_1.html,"Pakistan and the USA will play their first match against each other at the Sinhalese Sports Club, with both teams having faced each other just once earlier in New York
Pakistan vs USA T20 World Cup … [+3402 chars]"
Two crucial water projects in Jammu and Kashmir to move forward after Indus treaty suspension,"The projects are: lifting water from the Chenab river for supply to Jammu city, and the Tulbul Navigation Barrage to regulate Jhelum waters in Kashmir",The Indian Express,2026-02-10T08:32:34Z,https://indianexpress.com/article/india/crucial-water-projects-jammu-kashmir-indus-treaty-suspension-10524195/,"Jammu and Kashmir Chief Minister Omar Abdullah on Tuesday expressed hope that work will soon begin on two long-pending water projects, following the suspension of the Indus Water Treaty. The projects… [+2408 chars]"
RBI Office Attendant recruitment 2026: Application correction window opens for 572 posts; direct link here,"The Reserve Bank of India has opened a two-day window for Office Attendant applicants to correct specific details in their forms. From February 10-11, 2026, candidates can edit exam centers, names, and categories for a ₹200 fee. Crucially, personal details li…",The Times of India,2026-02-10T08:31:00Z,https://timesofindia.indiatimes.com/education/news/rbi-office-attendant-recruitment-2026-application-correction-window-opens-for-572-posts-direct-link-here/articleshow/128149096.cms,"<ul><li>News</li>
<li>Education News</li>
<li>News</li>
<li>RBI Office Attendant recruitment 2026: Application correction window opens for 572 posts; direct link here</li></ul>
Follow Us On Socia… [+3138 chars]"
Bangladesh heads to the polls: What’s at stake for a nation rocked by Gen Z upheaval?,"The elections and referendum in Bangladesh will sway the country’s future governance, regional power equations, and trade trajectory Read Full Article at RT.com",RT,2026-02-10T08:24:56Z,https://www.rt.com/news/632238-bangladesh-heads-to-polls-whats/,"General elections will be held in Bangladesh on February 12, the first voting after a violent uprising, led by Gen Z protesters, in 2024 that ousted the government of former Prime Minister Sheikh Has… [+11034 chars]"
India-Pakistan T20 World Cup match: 'Dhurandhar' Vikrant Gupta's video 'Pak ka scripted boycott plan' goes viral where he lists four stages of drama. Watch here,"India-Pakistan T20 World Cup match: After Pakistan took a complete U-turn on its boycott of match with India, a video of senior Indian sports Vikrant Gupta re-surfaced on social media. The video was titled Pak ka scripted boycott plan where Gupta stages four …",The Times of India,2026-02-10T08:23:43Z,https://economictimes.indiatimes.com/news/new-updates/india-pakistan-t20-world-cup-match-dhurandhar-vikrant-guptas-video-pak-ka-scripted-boycott-plan-goes-viral-where-he-lists-four-stages-of-drama-watch-here/articleshow/128148953.cms,The India-Pakistan match in the T20 World Cup will go ahead as scheduled for February 15 in Columbo. Pakistan's U-turn came after its government decided to withdraw its boycott call following persuas… [+4544 chars]
"Planet Parade in February 2026: Rare celestial alignment of six planets, know how to watch?","Skywatchers can witness a rare planet parade on February 28, 2026. Six planets, including Mercury, Venus, Saturn, Neptune, Uranus, and Jupiter, will align in the night sky. This celestial event will be visible 30 to 60 minutes after sunset. Clear skies away f…",The Times of India,2026-02-10T08:10:43Z,https://timesofindia.indiatimes.com/astrology/planets-transits/planet-parade-in-february-2026-rare-celestial-alignment-of-six-planets-know-how-to-watch/articleshow/128148170.cms,"Follow Us On Social Media
Epstein Files SHAKE UP UK Royals; King Charles III WONT PROTECT Own Brother Andrew | Arrest Next?How Gujarat Titans Cracked The IPL In Their Debut SeasonPak Backtracks, Agr… [+2856 chars]"
Clashes erupt at Kerala University as SFI students protest for Youth Festival funds,"Clashes erupted between police and SFI activists at Kerala University headquarters over the Youth Festival funding. The Vice-Chancellor in charge stated only the newly elected committee can use university funds for the festival, rejecting the outgoing union's…",The Times of India,2026-02-10T08:08:55Z,https://timesofindia.indiatimes.com/city/thiruvananthapuram/clashes-erupt-at-kerala-university-as-sfi-students-protest-for-youth-festival-funds/articleshow/128148131.cms,"Follow Us On Social Media
Epstein Files SHAKE UP UK Royals; King Charles III WONT PROTECT Own Brother Andrew | Arrest Next?How Gujarat Titans Cracked The IPL In Their Debut SeasonPak Backtracks, Agr… [+2856 chars]"
SSC GD result 2025: Important notice issued for withheld candidates; check details here,The Staff Selection Commission has sent the final results of withheld SSC GD Constable 2025 candidates to the Central Reserve Police Force. The CRPF will now complete verification and release these results. Candidates should monitor the SSC website for update…,The Times of India,2026-02-10T08:08:05Z,https://timesofindia.indiatimes.com/education/news/ssc-gd-2025-important-notice-issued-for-withheld-candidates-check-details-here/articleshow/128148055.cms,"Follow Us On Social Media
Epstein Files SHAKE UP UK Royals; King Charles III WONT PROTECT Own Brother Andrew | Arrest Next?How Gujarat Titans Cracked The IPL In Their Debut SeasonPak Backtracks, Agr… [+2856 chars]"
"“I quit engineering in my third year,” writes a 21-year-old: How to rebuild your career path after dropping out","A student's decision to leave engineering midway through their degree highlights a growing trend of career uncertainty. After struggling with coursework and internships, they are exploring new paths, seeking financial stability and growth. The article advises…",The Times of India,2026-02-10T08:07:49Z,https://timesofindia.indiatimes.com/education/news/i-quit-engineering-in-my-third-year-writes-a-21-year-old-how-to-rebuild-your-career-path-after-dropping-out/articleshow/128148737.cms,"<ul><li>News</li>
<li>Education News</li>
<li>News</li>
<li>I quit engineering in my third year, writes a 21-year-old: How to rebuild your career path after dropping out</li></ul>
Follow Us On So… [+1411 chars]"
"RSSB Grade 4 Recruitment 2024: Scrutiny form window opens for 53,750 posts, check details here",The Rajasthan Staff Selection Board has opened the online scrutiny form window for 4th Grade (Class IV) Direct Recruitment 2024 after shortlisting candidates for eligibility checks. Selected applicants must submit the Detailed Application-cum-Scrutiny Form on…,The Times of India,2026-02-10T08:04:25Z,https://timesofindia.indiatimes.com/education/news/rssb-grade-4-recruitment-2024-scrutiny-form-window-opens-for-53750-posts-check-details-here/articleshow/128148456.cms,"<ul><li>News</li>
<li>Education News</li>
<li>News</li>
<li>RSSB Grade 4 Recruitment 2024: Scrutiny form window opens for 53,750 posts, check details here</li></ul>
Follow Us On Social Media
Eps… [+1396 chars]"
Who is Raj Jegannathan: Inside the journey of the Indian-origin Tesla VP who spent 13 years at Elon Musk’s company,"News News: Tesla Vice President Raj Jegannathan has ended his tenure of working for almost 13 years. He played an important role in being in a powerful role, not.",The Times of India,2026-02-10T08:01:09Z,https://timesofindia.indiatimes.com/auto/news/who-is-raj-jegannathan-inside-the-journey-of-the-indian-origin-tesla-vp-who-spent-13-years-at-elon-musks-company/articleshow/128148320.cms,"<ul><li>News</li>
<li>Auto News</li>
<li>News</li>
<li>Who is Raj Jegannathan: Inside the journey of the Indian-origin Tesla VP who spent 13 years at Elon Musks company</li></ul>
Follow Us On Soc… [+1410 chars]"
US zero-tariff clause for Bangladesh in trade deal: Are textile fears in India overblown?,"Indian textile stocks fell sharply following the US-Bangladesh trade agreement, which offers potential zero-tariff access for Bangladeshi textiles. This move raises concerns about India's competitive edge in the US market, despite earlier optimism surrounding…",The Times of India,2026-02-10T07:59:09Z,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/us-zero-tariff-clause-for-bangladesh-in-trade-deal-are-textile-fears-in-india-overblown/articleshow/128146675.cms,Shares of several Indian textile companies came under sharp pressure in trade on February 10 after the United States and Bangladesh announced the conclusion of their reciprocal trade agreement. Stock… [+7631 chars]
Happy Streets is all about fun and togetherness: Dipshikkha Nagppal,"The Times of India's Happy Streets initiative transformed Chembur's RCF Road into a vibrant, vehicle-free community hub on February 1. Residents of all ages enjoyed a morning filled with fitness, art, and shared experiences, including a Zumba session with act…",The Times of India,2026-02-10T07:53:17Z,https://timesofindia.indiatimes.com/city/mumbai/happy-streets-is-all-about-fun-and-togetherness-dipshikkha-nagppal/articleshow/128148292.cms,"Follow Us On Social Media
Desperate Savannah Guthrie Begs for Help; Nancy Still MissingKolkata Update Survivor Return, Organ Scam, Kabir Row, Attack On Cops, Teacher CrisisTrumps NATO Shake-up: US P… [+1250 chars]"
Mahindra XEV 9S e-SUV waiting period extends up to 9 months: Full list here,"Mahindra offers two home-charging options - a 7.2kW AC unit and a faster 11.2kW charger which needs to be bought separately, They’re priced at Rs 50,000 and Rs 75,000 respectively. Using the 7.2kW setup, the largest battery takes about 11.7 hours for a full c…",The Times of India,2026-02-10T07:51:56Z,https://timesofindia.indiatimes.com/auto/cars/mahindra-xev-9s-e-suv-waiting-period-extends-up-to-9-months-full-list-here/articleshow/128143995.cms,"Follow Us On Social Media
Desperate Savannah Guthrie Begs for Help; Nancy Still MissingKolkata Update Survivor Return, Organ Scam, Kabir Row, Attack On Cops, Teacher CrisisTrumps NATO Shake-up: US P… [+1250 chars]"
"T20 WC 2026: Pakistan vs USA preview, toss time, live streaming","The last time these two teams met in the T20 World Cup was in 2024, when the USA beat Pakistan and knocked them out of the competition",Business Standard,2026-02-10T07:46:39Z,https://www.business-standard.com/cricket/icc-t20-world-cup/t20-wc-2026-pakistan-vs-usa-preview-toss-time-live-streaming-126020900351_1.html,"The last time these two teams met in the T20 World Cup was in 2024, when the USA beat Pakistan and knocked them out of the competition
Pakistan vs USA T20 World Cup 2026 playing 11
Aditya KaushikNe… [+4370 chars]"
Push start-stop in cars: Pros and cons you should know,"Push start-stop systems offer modern convenience and enhanced security by eliminating traditional keys. While reducing wear and tear, these electronic systems can lead to forgotten engines and costly key fob replacements. Battery issues can also disable the f…",The Times of India,2026-02-10T07:39:23Z,https://timesofindia.indiatimes.com/auto/advice-centre/push-start-stop-in-cars-pros-and-cons-you-should-know/articleshow/128147733.cms,"<ul><li>News</li>
<li>Auto News</li>
<li>Push start-stop in cars: Pros and cons you should know</li></ul>
Follow Us On Social Media
Trumps NATO Shake-up: US Pulls Out Generals From Two Key Europe… [+1384 chars]"
UP Board extends Class 12 practical exam deadline till this date: Check details here,UP Board has extended the deadline for Class 12 practical exams to February 13 due to pending exams and un-uploaded marks. Schools and examiners must complete all practicals and upload marks by this date. The board warns of strict action against those respons…,The Times of India,2026-02-10T07:37:23Z,https://timesofindia.indiatimes.com/education/news/up-board-extends-class-12-practical-exam-deadline-till-this-date-check-details-here/articleshow/128147572.cms,"Follow Us On Social Media
Trumps NATO Shake-up: US Pulls Out Generals From Two Key European Bases In Major Power ShiftTrumps NATO Shake-up: US Pulls Out Generals From Two Key European Bases In Major… [+1275 chars]"
"T20 World Cup: ICC found ‘very good solution’, says Shukla as Pak agrees to play India",Pakistan will play India in the T20 World Cup after withdrawing its boycott. The International Cricket Council found a solution following discussions. BCCI vice-president Rajeev Shukla thanked the ICC for its efforts. The high-profile match is scheduled for F…,The Times of India,2026-02-10T07:14:11Z,https://economictimes.indiatimes.com/news/icc-mens-t20-world-cup/t20-world-cup-icc-found-very-good-solution-says-shukla-as-pak-agrees-to-play-india/articleshow/128146122.cms,"New Delhi: BCCI vice-president Rajeev Shukla on Tuesday praised the International Cricket Council (ICC) for ""finding a very good solution"" that prompted Pakistan to withdraw its boycott of the T20 Wo… [+1895 chars]"
"Haider Ali, who once sold mangoes in Pakistan, is leading UAE's bowling against his own nation in T20 World Cup","The story of Haider Ali is a powerful narrative of resilience, following a Pakistani fruit seller who survived a 30-foot fall and extreme poverty to become a star for the UAE national team. Today, as UAE takes on Pakistan in the T20 World Cup 2026, Haider sta…",The Times of India,2026-02-10T07:04:35Z,https://economictimes.indiatimes.com/news/new-updates/haider-ali-who-once-sold-mangoes-in-pakistan-is-leading-uaes-bowling-against-his-own-nation-in-t20-world-cup/articleshow/128145888.cms,"Before the cheering crowds of the ICC Mens T20 World Cup 2026, there was only the dust of a remote village in Pakistan and the heavy crates of fruit. This is not just a story of cricket; it is a stor… [+3287 chars]"
